4 23 0
93	30	89	91	97	41	86	35	21	89	21	23	38	77	95	43	86	73	97	25	57	96	74
23	36	93	88	100	40	15	7	21	86	45	42	4	52	22	56	87	6	39	9	2	69	63
83	74	21	16	85	77	98	37	38	75	12	37	43	61	90	57	72	40	10	85	53	52	70
96	62	47	53	39	17	88	59	53	69	77	27	33	12	45	99	77	27	69	83	25	39	5
23 17 1
6	71	52	44	82	99	51	46	36	83	49	7	43	99	49	21	72
11	41	10	100	7	17	2	57	87	44	59	87	11	54	3	57	68
28	20	91	85	85	81	7	29	94	14	60	14	32	21	9	47	80
36	73	76	64	96	48	51	26	79	1	60	32	87	34	79	10	96
49	83	28	16	62	23	9	39	71	82	88	49	72	71	81	55	52
59	64	45	89	22	99	15	59	25	28	28	55	93	90	38	64	23
57	76	74	42	73	7	51	19	13	4	84	23	5	83	61	42	14
43	87	77	50	21	29	41	2	80	92	56	94	94	76	30	35	25
2	27	36	7	46	79	18	1	16	3	72	82	42	14	11	91	93
93	33	70	16	49	39	62	48	16	27	90	69	45	17	63	81	57
64	76	20	16	21	80	14	30	18	3	61	24	5	40	11	2	8
1	87	97	26	19	3	75	75	15	37	5	79	59	46	88	89	59
48	25	61	4	50	91	38	13	76	87	35	9	74	59	4	29	37
21	9	77	84	53	12	91	77	97	16	10	37	34	69	57	4	99
75	70	91	87	32	15	48	45	34	43	25	37	23	20	23	20	4
66	20	8	96	45	86	6	80	9	66	95	45	83	15	81	93	47
61	52	33	19	75	13	71	79	43	2	58	65	59	98	68	46	22
47	65	99	49	33	66	16	42	55	95	60	16	19	52	33	85	49
89	95	8	33	96	69	83	67	19	93	53	63	49	48	68	3	36
16	15	75	61	95	92	42	2	21	80	12	20	19	99	15	45	1
95	76	5	29	88	27	66	5	58	100	34	52	24	87	88	87	77
22	29	88	96	31	75	31	99	7	29	8	31	56	6	7	100	40
